id,target
0,8.034442
2,7.7905364
6,7.809189
7,7.9900656
10,8.1172495
14,8.236502
16,8.541518
17,7.626017
18,7.653641
19,7.7130685
21,7.672849
28,7.7930446
29,7.713023
30,7.8952804
31,7.8576617
34,8.57038
35,8.017595
36,7.735316
38,7.7577286
40,7.6236396
41,8.201286
42,7.931913
43,8.122706
44,8.825857
46,7.717396
47,7.820708
48,7.7723174
50,8.368731
53,7.8914833
54,8.527711
61,7.8397727
63,8.146348
65,7.5094495
67,8.334692
74,7.948276
79,7.658726
81,8.08992
84,8.07953
87,7.7041893
88,7.804156
89,7.840755
90,7.90274
93,7.864336
94,7.631945
96,7.812693
97,8.292379
101,7.6558146
105,7.8077803
106,7.6115613
110,7.78293
111,7.860136
112,7.730254
115,7.889464
116,7.4982677
117,8.2270155
125,8.042501
127,7.806637
128,8.027598
129,7.842463
132,7.834318
133,7.656703
134,7.666405
136,8.576811
138,7.7959886
141,7.7201586
142,7.8262296
143,7.751326
144,7.851037
147,7.3473544
148,7.578575
155,7.6750555
157,8.22749
163,7.827273
164,7.7471437
166,8.135629
168,8.1949
172,7.3314767
174,7.927359
176,7.9436
179,8.090487
180,8.169987
188,8.048812
199,7.7236886
201,8.19535
203,7.748211
206,7.8579745
209,8.038537
211,7.8433785
214,7.4593854
217,7.738204
222,7.914158
223,7.571302
230,7.785255
231,7.6945343
234,7.819835
236,7.379632
238,7.719533
246,7.979943
247,7.23626
248,8.110968
249,7.6955967
250,7.4939103
252,7.801095
253,7.594738
254,7.7762585
255,8.166046
256,8.015602
257,7.945436
258,8.114003
260,8.153644
264,7.6416597
268,7.711144
269,8.086522
270,7.795626
271,7.9314103
272,8.234364
274,7.468821
277,7.9575925
279,7.8270755
283,7.841736
284,7.3666043
285,7.9251943
288,8.073087
289,8.195483
291,8.184246
294,7.9126425
295,7.8750095
296,7.7695465
297,7.8991446
299,7.6883874
301,7.9069433
303,8.302536
305,7.9116406
306,7.953975
308,7.9559317
311,7.878062
312,7.928858
313,7.922041
315,7.9031467
319,7.625697
320,8.236008
323,7.9488325
324,8.469833
326,7.948022
328,7.9814653
329,7.964165
333,8.163822
334,8.001759
335,7.866153
336,8.344518
337,7.7606196
338,7.9856596
339,7.9523273
340,7.7478695
341,7.642033
342,7.519339
344,7.904419
346,7.8269815
347,7.9518347
350,7.962217
351,7.817354
352,7.6557155
356,7.3882685
360,7.797399
365,8.28778
371,7.8480654
377,7.804977
384,7.8644547
387,7.6058674
388,7.2169585
391,7.3405805
392,7.9152446
398,7.750866
399,7.7884417
403,8.2442665
404,7.9012766
407,7.94669
409,7.9448943
410,7.9185805
411,8.096833
413,7.904564
414,7.9091296
417,7.7292247
418,8.147254
420,7.7014184
423,8.038861
424,8.209554
426,8.014798
431,8.233933
432,7.98466
433,7.816849
434,7.7856207
436,8.334188
438,8.511928
440,8.339403
444,7.858686
445,7.774593
446,7.8952775
447,7.9898686
448,7.7311716
449,7.5824747
450,8.394322
453,8.131808
454,7.7533145
456,8.1414995
457,7.5737786
458,7.5617123
464,7.615827
465,7.853333
467,7.961666
470,7.4866104
471,7.784747
474,7.974135
478,7.7083697
480,7.9082794
484,8.411476
485,8.444618
487,7.9547706
488,8.1100445
489,8.338998
491,7.9383793
495,7.9168954
499,8.4079275
500,7.485632
501,7.7364616
502,7.9466286
503,7.7055936
506,8.964978
512,8.470234
516,8.1779585
518,7.696536
519,8.080778
521,7.546698
524,8.160919
527,8.064713
528,7.9403515
531,7.4519796
532,8.254854
533,8.060158
534,8.0383
535,7.947272
537,7.9613905
538,8.241596
544,7.86426
548,8.133943
549,8.151989
550,8.19366
554,7.488157
555,7.8883953
556,8.201332
558,8.084795
560,7.8693314
561,7.6270695
564,8.306782
566,7.7812924
571,7.5638304
572,7.7222786
573,7.790321
574,8.112345
575,8.146969
576,7.925689
578,7.410377
579,7.868313
582,8.281071
587,7.7744284
588,8.235229
592,8.337352
593,8.091904
606,8.418582
608,8.376745
610,7.6511784
611,7.42855
612,7.586435
613,7.723641
614,8.233929
615,7.981763
617,7.7890987
618,8.107995
620,7.6598134
623,8.221109
624,7.9701595
626,7.677012
628,7.93089
632,8.224681
639,7.9763827
645,8.081631
648,7.9159265
649,7.6917186
650,7.7323856
656,7.8981376
657,7.5359907
660,7.741701
663,7.862187
664,7.794124
665,8.589531
671,8.320055
673,7.6952024
674,8.206188
677,8.123439
681,7.9333777
683,8.256757
685,7.91729
687,7.789204
688,8.110953
691,8.409925
692,7.841644
695,7.7715373
700,8.175372
703,8.008238
705,8.47585
709,7.9458447
712,8.17123
713,7.597043
715,7.74149
717,8.216381
720,7.956074
721,7.566113
722,7.9072404
729,8.043522
730,7.787534
732,8.087551
733,8.276674
736,8.993083
738,7.9265547
741,7.8174887
743,7.697417
745,7.9147387
746,7.646024
748,8.291226
749,7.830814
753,7.904268
759,8.106989
762,8.027076
764,8.334929
768,8.064644
769,7.5582886
770,7.938184
773,7.997988
779,7.459259
781,7.7904367
784,7.868585
785,8.183257
791,7.8690476
793,7.6007857
794,8.381914
801,8.094005
805,7.7632556
810,7.834546
811,7.95191
814,7.5583687
818,7.740032
821,7.802341
824,8.025787
826,8.110561
828,7.482888
831,8.042262
832,7.5646424
833,7.6183276
835,7.8752623
838,8.086717
839,7.8502436
842,7.357732
845,7.6966567
846,7.884409
848,7.860662
852,7.45639
857,7.8713584
863,7.7342873
864,8.022661
865,7.809092
869,8.250492
870,8.3257
871,7.546905
873,8.513086
874,7.7155952
875,7.9433603
877,7.9477787
878,7.8139057
879,7.953018
881,8.060929
882,7.8617067
883,8.318806
884,7.9208145
885,8.009701
887,8.106426
889,7.9071407
892,7.4369245
893,7.7553377
897,7.431145
901,7.662848
905,8.005195
908,7.4527
911,7.6971865
914,7.9307737
916,8.336124
928,7.98813
934,7.6741643
936,7.6859264
938,7.8919487
939,8.033361
941,7.598324
942,7.5626154
943,7.68746
945,7.7375736
947,8.40065
961,7.7120333
965,7.2629595
967,7.9854074
970,7.6627903
971,7.457698
974,8.063773
983,8.105192
984,8.372481
987,8.046067
989,7.9135647
991,7.421388
992,7.784966
994,7.7983713
997,8.203671
1005,7.7748637
1006,7.6183834
1008,8.114858
1009,7.96263
1010,8.041645
1011,7.13788
1012,7.814259
1018,8.500493
1025,7.8398647
1027,7.70331
1030,8.197908
1031,8.131713
1032,7.7557144
1033,7.9703403
1034,7.9149914
1035,7.8982334
1036,7.61349
1037,7.8292227
1038,7.9420114
1039,8.359527
1041,8.054079
1043,7.972339
1044,7.399942
1045,7.626239
1046,7.8292384
1048,7.9105825
1049,7.826005
1050,7.790997
1055,7.323863
1057,7.7221746
1059,7.2931995
1064,8.632
1065,8.38962
1069,8.175823
1075,7.625726
1076,7.7301455
1077,7.954437
1079,8.155655
1081,7.788414
1083,7.961784
1086,7.8096266
1087,8.231469
1088,8.001178
1090,8.042597
1091,7.5210185
1092,8.412759
1099,7.7432504
1101,7.6603804
1103,7.4749837
1106,8.171154
1107,7.638336
1108,7.9334183
1111,8.504121
1113,7.9329515
1114,8.253674
1117,7.968326
1121,7.987076
1123,7.6755185
1127,7.875897
1128,7.583534
1129,8.2129545
1134,8.229309
1135,7.8046746
1136,7.625578
1137,8.169984
1144,8.058946
1147,7.849559
1148,8.179434
1150,8.190007
1152,7.8143735
1153,8.287949
1154,7.7683845
1157,8.259499
1163,7.700969
1168,8.4289
1175,8.439873
1176,7.9002576
1179,7.809204
1180,7.7355623
1185,7.821458
1188,7.7305818
1193,8.09378
1195,7.8228707
1196,7.868057
1197,8.264029
1207,7.9310493
1208,8.236908
1209,7.9432783
1210,7.986348
1211,7.9397535
1215,7.9625187
1217,8.009581
1218,8.166689
1224,8.1071005
1225,7.65829
1230,8.102114
1235,8.011199
1237,8.033352
1239,7.4588914
1240,7.3557715
1247,8.082839
1248,7.8019814
1250,8.092819
1251,8.013746
1252,7.2342997
1263,7.6523724
1265,8.141875
1270,7.8728175
1274,8.075554
1275,7.84796
1278,7.993269
1281,7.6635385
1282,8.289054
1283,8.450172
1285,8.115855
1286,7.695455
1287,8.173951
1289,7.9167624
1290,8.131777
1293,7.383764
1294,7.9097676
1298,8.014903
1301,8.479722
1303,7.928028
1306,7.6268983
1310,7.6885166
1314,8.503838
1316,7.8015375
1324,7.5996733
1330,7.8625803
1332,7.9139924
1333,8.003135
1334,8.35031
1336,7.877919
1338,7.80725
1339,7.8206425
1343,8.465918
1347,7.9501014
1349,7.958728
1354,7.9458213
1355,8.25601
1358,7.824681
1360,7.720189
1361,8.56127
1364,8.337992
1365,7.9522657
1371,7.483102
1388,8.101256
1390,7.944706
1393,8.063945
1395,7.767641
1409,8.022709
1412,7.976379
1414,8.273489
1415,7.9962964
1417,7.7767463
1422,7.6167397
1423,7.8279943
1424,7.599354
1425,7.7373934
1427,7.704084
1435,8.076165
1436,7.7116446
1438,8.151775
1440,8.251891
1444,7.696036
1445,8.2160425
1449,8.140947
1450,8.353539
1451,8.158923
1452,7.895513
1454,8.165528
1455,7.9964547
1457,8.051732
1458,7.875356
1461,7.73084
1462,7.9149466
1463,8.305965
1465,7.928955
1468,7.798927
1471,8.06949
1473,7.8601446
1475,8.262699
1477,7.7836084
1478,7.9467664
1481,7.9289794
1483,7.5759163
1484,8.122174
1485,7.8492713
1486,8.087212
1490,7.60675
1491,7.8648586
1492,8.111199
1494,8.1771
1497,7.715473
1501,8.421952
1502,7.9456177
1505,7.9387155
1507,8.11406
1508,7.2040896
1511,8.0993595
1513,7.8817215
1515,8.013754
1518,8.35136
1525,8.124017
1530,7.9948134
1533,7.7670236
1538,8.067499
1539,8.187132
1540,8.099524
1541,7.9786577
1542,7.985231
1544,8.340446
1547,7.676236
1548,7.9023633
1549,7.8471274
1550,7.876595
1553,8.256023
1555,7.8249936
1558,8.152177
1560,7.8631396
1566,6.97187
1567,7.91868
1568,7.407917
1569,7.8978434
1571,7.762636
1577,8.469017
1578,8.508426
1579,7.52498
1585,7.953981
1587,8.388783
1588,7.8874025
1590,7.5462046
1591,8.4795265
1592,7.877547
1595,8.092675
1596,8.180533
1597,7.939612
1598,7.7581453
1599,7.8146067
1604,7.931476
1606,8.1329
1608,7.8385816
1611,7.7685394
1614,7.7751966
1615,7.9581895
1616,8.082597
1617,7.955002
1621,8.036324
1623,8.290221
1624,7.92835
1628,7.8485537
1629,8.041398
1630,7.561231
1632,7.9095078
1633,8.013885
1635,7.9158106
1636,8.00332
1638,7.798081
1641,8.065632
1642,7.918396
1644,7.7181726
1646,7.612023
1648,8.2789755
1650,7.4554896
1651,7.993294
1654,7.6997643
1656,8.224485
1660,7.974931
1662,7.599972
1663,7.557096
1669,7.766074
1671,8.207967
1672,8.230091
1673,8.129793
1676,8.000878
1679,7.8377476
1689,7.585083
1690,7.6050544
1691,7.606596
1692,8.405217
1696,7.6481237
1699,7.8935704
1700,7.7178025
1701,7.6299834
1703,8.246407
1704,7.8237286
1705,8.096067
1706,7.7248015
1707,7.890466
1708,8.108147
1709,7.7079835
1714,7.7717867
1717,7.8920283
1718,7.8474593
1719,7.5993867
1721,8.22209
1722,7.8208103
1723,7.8462315
1724,7.3124003
1726,7.9501204
1727,7.659285
1735,8.624825
1737,8.055893
1741,7.7952266
1753,7.727405
1757,7.902459
1758,8.048228
1763,7.5187154
1765,8.034728
1767,7.795281
1773,8.120018
1775,8.235251
1776,7.7094193
1777,7.9163136
1783,7.8363767
1788,7.8633847
1795,8.385817
1799,7.7638745
1800,7.9422274
1801,7.994406
1802,7.710875
1805,7.9688725
1806,7.7225
1810,8.098132
1811,8.048712
1812,8.074155
1813,7.320983
1815,7.7925997
1817,7.738863
1819,7.753691
1823,7.969792
1824,7.6900597
1828,8.088765
1829,7.7528067
1833,8.398267
1834,7.823941
1838,8.005255
1841,8.049581
1844,7.9519773
1845,7.8426633
1848,8.095447
1852,7.93082
1853,8.363997
1854,7.674582
1855,8.128682
1860,7.9103556
1861,7.8565307
1862,7.9091597
1865,7.68484
1866,7.9381957
1868,7.6611915
1871,7.794768
1873,7.943242
1874,7.886035
1878,7.651665
1881,8.033514
1882,7.886734
1884,8.417808
1886,8.152954
1887,8.2715645
1891,8.329588
1892,7.6434383
1893,7.88281
1895,8.060323
1897,7.680354
1899,7.99541
1900,8.246307
1902,7.151219
1908,7.82729
1910,7.8794656
1911,7.92589
1912,7.858761
1915,7.574472
1918,7.882619
1920,7.9344473
1923,7.872093
1927,7.830085
1930,7.884379
1932,7.574273
1934,8.03773
1935,8.340401
1936,7.747553
1938,7.8509274
1945,8.112702
1946,7.4973936
1949,7.847125
1950,8.162015
1951,7.7778344
1954,8.080684
1956,7.8514266
1957,7.914146
1964,7.737858
1966,8.239065
1970,7.9611692
1972,7.6393304
1977,7.9260993
